Sujet;Q1;Com1;Q2;Com2;Q3;Com3;Q4;Com4;Q5;Com5;Q6;Com6;Q7;Com7;Q8;Com8;Q9;Com9;Q10;Date;Com Vide;Com Positif;Com Négatif;Com Merci;Com Confort;Com Renouvellement;Com Soucis Techniques;Com Durée;Com Pratique;Com Autre
52;4;;4;;4;;4;;4;;4;;3;;4;;4;;10;31/03/2023;0;0;0;0;0;1;0;0;1;0
53;4;;3;;3;;4;;4;;4;;4;;4;;4;;9;31/03/2023;0;1;0;0;0;1;0;0;0;0
54;3;;3;;3;;3;;3;;3;;3;;3;;3;;8;31/03/2023;0;1;0;0;0;0;0;0;0;0
55;4;;2;;4;;4;;4;;4;;4;;4;;4;;10;31/03/2023;1;0;0;0;0;0;0;0;0;0
56;4;; ;sans objet ;4;;3;;3;;4;;4;;3;;4;;8;31/03/2023;1;0;0;0;0;0;0;0;0;0
57;4;;4;;3;;4;;4;;4;;3;;4;;4;;8;31/03/2023;1;0;0;0;0;0;0;0;0;0
58;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;1;0;0;0;0;0;0;0;0;0
59;4;;4;;3;;4;;4;;4;;3;;4;;4;;9;03/03/2023;0;1;0;0;0;1;0;0;0;0
60;3;;3;;4;;4;;4;;4;;3;;3;;4;;8;03/03/2023;0;1;0;0;0;1;0;0;0;0
61;4;;3;;3;;4;;4;;4;;4;;4;;4;;8;03/03/2023;0;0;0;0;0;0;0;1;0;0
62;4;;4;;4;;4;;4;;4;;4;;4;;4;;9,5;03/03/2023;0;1;0;0;0;0;0;0;0;0
63;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;1;0;1;0;0;0;0;0;0
64;4;;4;;4;;4;;4;;4;;3;;4;;4;;9,5;03/03/2023;1;0;0;0;0;0;0;0;0;0
65;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;1;0;0;0;0;0;0;0;0
66;4;;4;;4;;4;;4;;4;;4;;3;;4;;9;03/03/2023;0;1;0;0;0;1;0;0;0;0
67;3;;4;;4;;4;;4;;4;;3;;4;;4;;9;03/03/2023;0;1;0;1;0;0;0;0;0;0
68;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;1;0;1;0;0;0;0;0;0
69;3;;3;;3;;4;;4;;4;;3;;4;;4;;9;23/05/2023;0;0;0;0;0;0;0;0;1;1
70;4;;4;;3;;4;;4;;4;;4;;4;;4;;9;23/05/2023;0;1;0;0;1;0;0;0;0;0
71;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;23/05/2023;0;1;0;0;1;0;0;0;0;0
72;4;;4;;3;;4;;4;;4;;4;;4;;4;;9;23/05/2023;0;0;0;0;1;0;0;0;0;0
73;4;;3;;4;;4;;4;;4;;4;;4;;4;;10;23/05/2023;0;1;0;0;0;0;0;0;0;0
74;4;;4;?;4;;4;;4;;4;;4;;4;;4;;10;23/05/2023;1;0;0;0;0;0;0;0;0;0
75;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;23/05/2023;0;1;0;0;0;0;0;0;0;0
76;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;23/05/2023;0;0;0;0;0;1;0;0;0;0
77;3;;4;;4;;3;;4;;3;;3;;3;;4;;7;23/05/2023;0;0;0;0;0;0;0;0;0;1
78;4;; ;?;4;;4;;4;;4;;4;;4;;4;;10;23/05/2023;0;0;0;0;0;1;0;0;0;0
79;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;23/05/2023;0;0;0;0;0;1;0;0;0;0
80;4;;4;;4;;4;;4;;4;;3;;4;;4;;10;23/05/2023;0;1;0;0;0;1;0;0;0;0
81;4;;4;;4;;4;;4;;4;;4;;4;;4;; ;23/05/2023;0;0;0;0;0;0;0;1;0;0
82;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;23/05/2023;1;0;0;0;0;0;0;0;0;0
83; ;;4;;3;proposer autre chose que la chaise ;4;;3;;4;;3;;3;;4;;8;30/05/2023;1;0;0;0;0;0;0;0;0;0
84;4;;4;;3;;3;;3;;3;;3;;3;;3;;7;30/05/2023;1;0;0;0;0;0;0;0;0;0
85;4;;3;;4;;3;;4;;4;;4;;4;;4;;9;30/05/2023;1;0;0;0;0;0;0;0;0;0
